/Users/pratikkadlak/anaconda3/lib/python3.11/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/Users/pratikkadlak/anaconda3/lib/python3.11/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=GoogLeNet_Weights.IMAGENET1K_V1`. You can also use `weights=GoogLeNet_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Epoch [1/10], Loss: 2.3124747276306152, Accuracy: 10.92%, Test Accuracy: 28.449999999999996
Epoch [2/10], Loss: 2.175415515899658, Accuracy: 28.82%, Test Accuracy: 52.849999999999994
Epoch [3/10], Loss: 1.9889963865280151, Accuracy: 52.54%, Test Accuracy: 46.9
Epoch [4/10], Loss: 1.8581780195236206, Accuracy: 46.56%, Test Accuracy: 61.45
Epoch [5/10], Loss: 1.6742401123046875, Accuracy: 63.87%, Test Accuracy: 62.2
Epoch [6/10], Loss: 1.5388100147247314, Accuracy: 62.61%, Test Accuracy: 63.74999999999999
Epoch [7/10], Loss: 1.4139257669448853, Accuracy: 64.41%, Test Accuracy: 65.55
Epoch [8/10], Loss: 1.2965381145477295, Accuracy: 66.75%, Test Accuracy: 65.35
Epoch [9/10], Loss: 1.2285629510879517, Accuracy: 65.78%, Test Accuracy: 66.8
Epoch [10/10], Loss: 1.141816258430481, Accuracy: 67.53%, Test Accuracy: 67.25
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
